DT,TOT,TOT_model
2020-03-03,1,0
2020-03-04,0,0
2020-03-05,0,1
2020-03-06,3,2
2020-03-07,1,3
2020-03-08,3,5
2020-03-09,3,7
2020-03-10,6,9
2020-03-11,238,12
2020-03-12,58,16
2020-03-13,0,19
2020-03-14,17,21
2020-03-15,64,22
2020-03-16,38,22
2020-03-17,3,22
2020-03-18,10,23
2020-03-19,8,25
2020-03-20,10,26
2020-03-21,11,28
2020-03-22,13,29
2020-03-23,7,30
2020-03-24,25,32
2020-03-25,11,35
2020-03-26,12,40
2020-03-27,13,45
2020-03-28,28,51
2020-03-29,44,55
2020-03-30,59,59
2020-03-31,88,65
2020-04-01,54,74
2020-04-02,114,85
2020-04-03,126,97
2020-04-04,250,108
2020-04-05,279,117
2020-04-06,228,126
2020-04-07,225,137
2020-04-08,153,155
2020-04-09,166,178
2020-04-10,136,202
2020-04-11,216,224
2020-04-12,251,244
2020-04-13,252,261
2020-04-14,197,283
2020-04-15,283,318
2020-04-16,392,364
2020-04-17,560,411
2020-04-18,345,453
2020-04-19,440,487
2020-04-20,567,514
2020-04-21,518,551
2020-04-22,608,603
2020-04-23,623,669
2020-04-24,761,722
2020-04-25,833,754
2020-04-26,929,760
2020-04-27,957,746
2020-04-28,677,736
2020-04-29,643,752
2020-04-30,845,785
2020-05-01,687,812
2020-05-02,776,829
2020-05-03,679,832
2020-05-04,640,833
2020-05-05,951,852
2020-05-06,830,908
2020-05-07,918,989
2020-05-08,1311,1068
2020-05-09,1130,1126
2020-05-10,1189,1162
2020-05-11,1103,1179
2020-05-12,1526,1217
2020-05-13,1390,1302
2020-05-14,1733,1413
2020-05-15,1153,1501
2020-05-16,1547,1555
2020-05-17,1632,1564
2020-05-18,1365,1545
2020-05-19,0,1547
2020-05-20,0,1601
2020-05-21,0,1692
2020-05-22,0,1746
2020-05-23,0,1740
2020-05-24,0,1681
2020-05-25,0,1576
2020-05-26,0,1490
2020-05-27,0,1438
2020-05-28,0,1414
